signal,ticker,entry_date,exit_date,entry_price,exit_price,return,hold_days,win
Breakout_50,LRCX,2020-11-06,2021-02-01,37.7222,46.4413,0.23113979105141946,57,True
Breakout_50,LRCX,2021-02-16,2021-03-05,55.7995,51.3233,-0.08022044282685559,13,False
Breakout_50,LRCX,2021-04-05,2021-05-11,61.5949,53.9024,-0.12488845229680878,26,False
Breakout_50,LRCX,2021-11-15,2022-01-20,60.1843,62.4818,0.03817533866528788,45,True
Breakout_50,LRCX,2022-11-11,2022-12-23,46.4801,39.2629,-0.15527397520993524,29,False
Breakout_50,LRCX,2023-02-01,2023-03-13,48.2718,45.4047,-0.0593957679284115,27,False
Breakout_50,LRCX,2023-05-16,2023-09-12,53.4638,63.9215,0.19560275983413233,81,True
Breakout_50,LRCX,2023-11-17,2024-04-18,67.5729,89.2756,0.32117408057175734,103,True
Breakout_50,LRCX,2024-06-11,2024-07-18,98.0939,96.8155,-0.01303242018554518,25,False
Breakout_50,LRCX,2025-02-19,2025-02-28,85.4145,75.9625,-0.11066037947564966,7,False
Breakout_50,LRCX,2025-05-13,2025-09-03,81.7609,96.5639,0.18105213311548662,77,True
Breakout_50,LRCX,2025-09-12,2025-11-21,115.3632,139.4032,0.20838568098659938,50,True
Breakout_50,LRCX,2025-12-11,2026-03-06,165.4618,205.45,0.24167657483308735,57,True
Breakout_100,LRCX,2020-07-13,2020-08-28,32.2315,32.1996,-0.0009910824198616774,34,False
Breakout_100,LRCX,2020-11-06,2021-02-01,37.7222,46.4413,0.23113979105141946,57,True
Breakout_100,LRCX,2021-02-16,2021-03-05,55.7995,51.3233,-0.08022044282685559,13,False
Breakout_100,LRCX,2021-04-05,2021-05-11,61.5949,53.9024,-0.12488845229680878,26,False
Breakout_100,LRCX,2021-11-24,2022-01-20,62.2793,62.4818,0.003252022558846601,38,True
Breakout_100,LRCX,2023-02-02,2023-03-13,52.1776,45.4047,-0.1298050113295668,26,False
Breakout_100,LRCX,2023-05-16,2023-09-12,53.4638,63.9215,0.19560275983413233,81,True
Breakout_100,LRCX,2023-12-12,2024-04-18,71.8173,89.2756,0.24309262310905777,87,True
Breakout_100,LRCX,2024-06-13,2024-07-18,100.8559,96.8155,-0.04006144127832456,23,False
Breakout_100,LRCX,2025-02-19,2025-02-28,85.4145,75.9625,-0.11066037947564966,7,False
Breakout_100,LRCX,2025-06-17,2025-09-03,92.6611,96.5639,0.042119707950508456,53,True
Breakout_100,LRCX,2025-09-12,2025-11-21,115.3632,139.4032,0.20838568098659938,50,True
Breakout_100,LRCX,2025-12-11,2026-03-06,165.4618,205.45,0.24167657483308735,57,True
Breakout_50_noSMA,LRCX,2020-06-04,2020-08-28,26.7251,32.1996,0.2048431016176946,60,True
Breakout_50_noSMA,LRCX,2020-11-06,2021-02-01,37.7222,46.4413,0.23113979105141946,57,True
Breakout_50_noSMA,LRCX,2021-02-16,2021-03-05,55.7995,51.3233,-0.08022044282685559,13,False
Breakout_50_noSMA,LRCX,2021-04-05,2021-05-11,61.5949,53.9024,-0.12488845229680878,26,False
Breakout_50_noSMA,LRCX,2021-11-15,2022-01-20,60.1843,62.4818,0.03817533866528788,45,True
Breakout_50_noSMA,LRCX,2022-11-11,2022-12-23,46.4801,39.2629,-0.15527397520993524,29,False
Breakout_50_noSMA,LRCX,2023-02-01,2023-03-13,48.2718,45.4047,-0.0593957679284115,27,False
Breakout_50_noSMA,LRCX,2023-05-16,2023-09-12,53.4638,63.9215,0.19560275983413233,81,True
Breakout_50_noSMA,LRCX,2023-11-17,2024-04-18,67.5729,89.2756,0.32117408057175734,103,True
Breakout_50_noSMA,LRCX,2024-06-11,2024-07-18,98.0939,96.8155,-0.01303242018554518,25,False
Breakout_50_noSMA,LRCX,2025-01-23,2025-01-29,79.9214,76.6553,-0.04086690860805009,4,False
Breakout_50_noSMA,LRCX,2025-02-19,2025-02-28,85.4145,75.9625,-0.11066037947564966,7,False
Breakout_50_noSMA,LRCX,2025-05-13,2025-09-03,81.7609,96.5639,0.18105213311548662,77,True
Breakout_50_noSMA,LRCX,2025-09-12,2025-11-21,115.3632,139.4032,0.20838568098659938,50,True
Breakout_50_noSMA,LRCX,2025-12-11,2026-03-06,165.4618,205.45,0.24167657483308735,57,True
Breakout_50,MA,2020-05-19,2020-07-14,279.4947,282.6069,0.011134983720585412,38,True
Breakout_50,MA,2020-08-06,2020-09-24,316.8682,312.8033,-0.012828516358509345,34,False
Breakout_50,MA,2021-02-25,2021-05-06,353.6915,360.5027,0.019257707520383027,49,True
Breakout_50,MA,2021-07-15,2021-07-20,379.4046,356.9013,-0.059312110371490756,3,False
Breakout_50,MA,2022-01-05,2022-01-25,364.1682,334.7334,-0.0808275136671116,13,False
Breakout_50,MA,2022-01-31,2022-02-24,369.209,337.288,-0.08645798473681743,17,False
Breakout_50,MA,2022-11-14,2023-02-21,329.8088,349.9839,0.06117187687690184,66,True
Breakout_50,MA,2023-04-24,2023-05-25,368.6019,361.4883,-0.019298958332742422,23,False
Breakout_50,MA,2023-07-03,2023-09-25,384.5094,394.1769,0.025142575402977485,58,True
Breakout_50,MA,2023-12-04,2024-04-11,407.7851,462.8072,0.13492897173846585,88,True
Breakout_50,MA,2024-08-01,2024-08-06,460.7015,438.6889,-0.04778058830314258,3,False
Breakout_50,MA,2024-08-28,2025-01-06,470.144,516.3296,0.0982370443247782,89,True
Breakout_50,MA,2025-01-28,2025-03-11,542.4702,533.1998,-0.017089305373039543,29,False
Breakout_50,MA,2025-05-19,2025-06-20,577.6082,533.7771,-0.07588377215622566,22,False
Breakout_50,MA,2025-08-25,2025-09-24,595.1137,568.6938,-0.04439457336257302,21,False
Breakout_100,MA,2020-08-06,2020-09-24,316.8682,312.8033,-0.012828516358509345,34,False
Breakout_100,MA,2021-02-25,2021-05-06,353.6915,360.5027,0.019257707520383027,49,True
Breakout_100,MA,2022-01-05,2022-01-25,364.1682,334.7334,-0.0808275136671116,13,False
Breakout_100,MA,2022-01-31,2022-02-24,369.209,337.288,-0.08645798473681743,17,False
Breakout_100,MA,2023-01-10,2023-02-21,361.805,349.9839,-0.03267268647183119,28,False
Breakout_100,MA,2023-05-19,2023-05-25,385.1578,361.4883,-0.06145402758546237,4,False
Breakout_100,MA,2023-07-03,2023-09-25,384.5094,394.1769,0.025142575402977485,58,True
Breakout_100,MA,2023-12-13,2024-04-11,415.6978,462.8072,0.11332599030137658,81,True
Breakout_100,MA,2024-08-30,2025-01-06,476.914,516.3296,0.08264709005646553,87,True
Breakout_100,MA,2025-01-28,2025-03-11,542.4702,533.1998,-0.017089305373039543,29,False
Breakout_100,MA,2025-05-19,2025-06-20,577.6082,533.7771,-0.07588377215622566,22,False
Breakout_100,MA,2025-08-25,2025-09-24,595.1137,568.6938,-0.04439457336257302,21,False
Breakout_50_noSMA,MA,2020-05-19,2020-07-14,279.4947,282.6069,0.011134983720585412,38,True
Breakout_50_noSMA,MA,2020-08-06,2020-09-24,316.8682,312.8033,-0.012828516358509345,34,False
Breakout_50_noSMA,MA,2021-02-25,2021-05-06,353.6915,360.5027,0.019257707520383027,49,True
Breakout_50_noSMA,MA,2021-07-15,2021-07-20,379.4046,356.9013,-0.059312110371490756,3,False
Breakout_50_noSMA,MA,2022-01-05,2022-01-25,364.1682,334.7334,-0.0808275136671116,13,False
Breakout_50_noSMA,MA,2022-01-31,2022-02-24,369.209,337.288,-0.08645798473681743,17,False
Breakout_50_noSMA,MA,2022-11-14,2023-02-21,329.8088,349.9839,0.06117187687690184,66,True
Breakout_50_noSMA,MA,2023-04-24,2023-05-25,368.6019,361.4883,-0.019298958332742422,23,False
Breakout_50_noSMA,MA,2023-07-03,2023-09-25,384.5094,394.1769,0.025142575402977485,58,True
Breakout_50_noSMA,MA,2023-12-04,2024-04-11,407.7851,462.8072,0.13492897173846585,88,True
Breakout_50_noSMA,MA,2024-08-01,2024-08-06,460.7015,438.6889,-0.04778058830314258,3,False
Breakout_50_noSMA,MA,2024-08-28,2025-01-06,470.144,516.3296,0.0982370443247782,89,True
Breakout_50_noSMA,MA,2025-01-28,2025-03-11,542.4702,533.1998,-0.017089305373039543,29,False
Breakout_50_noSMA,MA,2025-05-19,2025-06-20,577.6082,533.7771,-0.07588377215622566,22,False
Breakout_50_noSMA,MA,2025-08-25,2025-09-24,595.1137,568.6938,-0.04439457336257302,21,False
Breakout_50,MAR,2020-11-10,2021-01-22,112.8098,120.5775,0.06885674941110231,49,True
Breakout_50,MAR,2021-02-22,2021-04-21,133.9857,136.392,0.017959749384120594,41,True
Breakout_50,MAR,2021-07-30,2021-08-05,140.8967,133.8317,-0.050143533349724656,4,False
Breakout_50,MAR,2021-09-24,2021-11-22,143.64,150.3104,0.04643845283461179,41,True
Breakout_50,MAR,2022-02-09,2022-03-02,166.0961,161.3026,-0.02885960118330333,14,False
Breakout_50,MAR,2022-04-20,2022-05-10,181.9203,161.7646,-0.11079378165900888,14,False
Breakout_50,MAR,2022-12-01,2022-12-19,160.4075,149.212,-0.06979420230174094,12,False
Breakout_50,MAR,2023-01-26,2023-03-13,168.0003,157.7849,-0.0608058965353635,31,False
Breakout_50,MAR,2023-05-03,2023-05-25,174.3652,163.5323,-0.062127509275294535,16,False
Breakout_50,MAR,2023-07-03,2023-09-20,178.5963,194.8727,0.09113526498789803,55,True
Breakout_50,MAR,2023-11-22,2024-04-16,204.524,243.4386,0.19026919418233934,98,True
