ticker,start_date,end_date,start_price,peak_price,duration_d,duration_td,return_pct,velocity,feat_dist_sma20,feat_dist_sma50,feat_dist_sma200,feat_rsi14,feat_bb_width,feat_bb_pos,feat_macd_hist_norm,feat_vol_spike,feat_atr_pct,feat_adx14,feat_roc5,feat_roc20,feat_trend_align,feat_sma20_slope
TLT,2022-10-24,2022-12-07,80.6239,95.9815,44,31,19.05,0.43292,-0.0734101666443046,-0.12576272341724634,-0.2251105104543732,20.83319898343008,0.14852460245701843,-0.03342121044315434,-0.005763833314890177,1.2697155817807488,0.01981292571460665,67.44004959608849,-0.05800781777529018,-0.10666908437988187,0.0,-0.02558672553215946
VWO,2022-10-24,2023-01-26,31.5807,39.2393,94,64,24.25,0.25799,-0.037051259732327445,-0.08943235609205931,-0.16897341553319115,35.258276168350136,0.08689197620195044,0.057187232260493125,0.0010608649777839574,1.9621976507688332,0.0226298215969764,37.80983408224181,-0.034181061823157166,-0.04540530399731191,0.0,-0.013156445638000558
BA,2022-10-26,2023-02-14,133.79,218.45,111,75,63.28,0.57007,0.0005720783551353509,-0.07710416935594948,-0.17829054852853204,44.57033160541839,0.1807455756224481,0.5031632933013216,0.012351337120803031,3.7604460386575362,0.04426982202792613,18.463593278717497,-0.03323944016044056,0.002622833021006965,0.0,0.016991242268299622
MU,2022-10-27,2022-11-15,51.3232,62.0282,19,13,20.86,1.09779,-0.025479790220306744,-0.03842405740454715,-0.2273506800562757,44.748876695076206,0.1270864119838148,0.2942660902117482,0.004313031948734962,1.2546860014692272,0.05248035388496296,30.681656652951908,-0.02774673208447509,0.04619413563396413,0.0,0.024650458281407106
MCHI,2022-10-31,2022-11-15,32.3935,41.252,15,11,27.35,1.82312,-0.11167698214020126,-0.194099980690477,-0.3052965469935338,28.891446699074137,0.3126246909971178,0.09786721792612914,-0.00649141173800012,0.5428974932329057,0.04181725444603061,45.21164543136565,-0.013037424904895123,-0.1686914012729812,0.0,-0.037939096840757136
ALB,2022-11-02,2022-11-11,253.8587,309.9226,9,7,22.08,2.45385,-0.0042145475147665114,-0.031801595415869056,0.1413438287187444,47.04940810304006,0.20724266517970924,0.4795776362014387,0.0055551765365314506,1.0924110720670734,0.04453162374880656,21.920611404339148,-0.05539606700903621,-0.03713868285996513,0.0,0.004415124486024435
BKNG,2022-11-02,2022-12-02,69.8228,81.8878,30,21,17.28,0.57598,0.00444877021696837,-0.017793093787957064,-0.13484729193020753,47.71665936045101,0.18233177396420075,0.5242912478848074,0.006847336728986415,1.6441218370531172,0.03817227230218388,36.93852491504981,-0.0396107658943311,0.029807981734943922,0.0,0.02181314002616208
DRE,2022-11-02,2022-11-11,253.8587,309.9225,9,7,22.08,2.45385,-0.0042144548796751585,-0.03180150453976622,0.14134390945844502,47.04942231830311,0.20724251786364034,0.47957807246488227,0.005555175950385844,1.0924110720670734,0.04453162805328013,21.92620264451135,-0.05539590296645325,-0.037138513533456985,0.0,0.004415106516877598
EBAY,2022-11-02,2022-11-15,35.6305,44.0185,13,9,23.54,1.8109,-0.009382922278804443,-0.05742776202808777,-0.20593323295896795,43.01332851848342,0.10868312835353612,0.41284944091725134,0.007445726578335748,1.3871463097199743,0.03706554694801716,16.587231996380872,-0.038160151969608536,-0.02709611159054437,0.0,0.011012573399767467
FCX,2022-11-02,2022-11-15,29.5824,36.3365,13,9,22.83,1.75626,0.023921796607487836,0.04239479008406228,-0.1452364316755753,52.22771872131331,0.2297891583008261,0.6016710880081199,0.006467063122264213,1.2177028708120903,0.05684801143411407,37.06161056875866,-0.06988588224231451,0.021702130154415578,0.0,0.025688416611474585
NUE,2022-11-02,2022-12-02,122.3305,146.5457,30,21,19.79,0.65983,0.016316131000249576,0.0325825360175493,0.010812322514744522,52.52857964705771,0.23574683350544542,0.5680992763072459,0.004065704930897764,0.9152707387648293,0.04242317994267306,30.669060273848835,-0.060575008337241276,0.0922357748332876,0.0,0.04124156256791989
ROK,2022-11-02,2022-11-11,221.6592,258.7902,9,7,16.75,1.86126,-0.002085862761235945,-0.0007615645937644591,-0.023304262852630188,48.498774166307626,0.18086835649805444,0.48844340315047313,0.007464865917387027,3.1022567532944167,0.03721339309276633,30.120786651684092,-0.02315737065188217,0.0028546165535452417,0.0,0.027663959771262903
ABBV,2022-11-03,2023-01-06,127.3037,146.8109,64,43,15.32,0.23943,-0.0031418620538181093,0.023434746360610607,-0.0036910506938702854,49.80700924097146,0.12858809882465377,0.47548945437567414,-0.002635055492012776,0.7255881613075549,0.02579283441650983,21.368668301334285,-0.05915312952811269,0.039914086885224576,0.0,0.0135556871368252
ADI,2022-11-03,2022-12-13,130.0329,166.0706,40,27,27.71,0.69286,-0.02711374099862493,-0.05715306039155921,-0.11253877238738293,41.835700720526646,0.08149097779381471,0.15800650550663617,0.000867968370007989,0.9565470982793818,0.03424976048821449,16.387202216711884,-0.018908420913146373,-0.08577870572453794,0.0,-0.009329443103127
AVGO,2022-11-03,2022-11-30,42.0233,52.1393,27,18,24.07,0.89157,-0.008035295104342016,-0.06130354732259134,-0.16455112164120522,42.777993667119624,0.13455741254538992,0.43979979305742073,0.006227201375276615,1.0424585735420548,0.032883626232522487,31.801208080060825,-0.024769552667700423,-0.07378521092418944,0.0,-0.0037693644869255527
ECL,2022-11-03,2022-11-11,126.3809,149.7905,8,6,18.52,2.31538,-0.09774057559381868,-0.14252684381799766,-0.2026746534887007,33.939886856810546,0.20216406663649242,-0.03584539167500223,-0.006643563370551156,1.9552381132814227,0.041649861779065364,37.351957777382374,-0.1423998720200792,-0.11649935357517727,0.0,-0.007055978464126533
FTNT,2022-11-03,2022-11-15,45.93,56.2,12,8,22.36,1.86334,-0.12358199348611322,-0.10417543805155288,-0.20150609395022806,33.20057267173996,0.29285796507952283,0.01851045171269418,-0.0084935946665462,2.7970798537782877,0.06060464238604537,38.27308113994687,-0.17996783285890827,-0.1453293846177981,0.0,0.009379899636200673
GOOG,2022-11-03,2022-11-30,82.8101,100.6239,27,18,21.51,0.79672,-0.14087702430953553,-0.180580474515254,-0.2918002567686917,28.583143632873828,0.2572122024160811,-0.13751919860399509,-0.01641301258351343,1.5236408150830087,0.047521516745949066,38.65314466426692,-0.09838001314290878,-0.1833920442550594,0.0,-0.02508992029028767
GOOGL,2022-11-03,2022-11-30,82.7461,100.1622,27,18,21.05,0.77954,-0.13731333932073903,-0.175726500728728,-0.2894756647704668,29.175773664526616,0.24842877367605778,-0.14070446496180347,-0.01591285536151437,1.6438981533102401,0.04734510665936724,40.53799291854375,-0.09531550356074114,-0.17738117297071765,0.0,-0.023777311497466758
HD,2022-11-03,2022-12-14,257.5379,306.8929,41,28,19.16,0.46742,-0.010901088702402074,-0.011083402885789496,-0.06651567578815067,46.25716381106118,0.10785618665750632,0.39781548492461843,0.0024274834322120763,1.463570774094503,0.030162386618663023,25.092191992428457,-0.03284542790075817,-0.030613826115434284,0.0,0.005587945468805922
IDXX,2022-11-03,2022-11-11,369.19,441.27,8,6,19.52,2.44048,0.06546957582513237,0.06694419074738052,-0.1104009683566957,57.53657844373704,0.2054086530351313,0.7991436162281289,0.011877735961715105,1.5975600628695457,0.04457636087652013,34.62851436834026,0.036642857461133715,0.06696148824748649,0.0,0.022653025756162792
ISRG,2022-11-03,2022-12-13,234.19,281.74,40,27,20.3,0.5076,0.09034870909356607,0.12724883037661244,-0.01583989029452717,62.93863981199277,0.421076560991649,0.696786576640288,0.012006846546516917,0.8388734523943884,0.04389903388399988,53.70479428040632,-0.03103148630162411,0.1845726153588012,0.0,0.05563365083123872
LOW,2022-11-03,2022-12-01,167.8904,201.1846,28,19,19.83,0.70825,-0.056189347792754495,-0.06741716305549786,-0.09850171436739587,38.63713774441857,0.1276518096298808,0.033617613269800034,-0.0027367564229610532,1.1765003364439768,0.03816363356114678,22.11516859731037,-0.07146555847620883,-0.09591907063620386,0.0,-0.00524935425731099
