amp,vol,adx,kombination,n_trades,hit_%,payoff,profit_factor,avg_win_%,avg_loss_%,avg_hold_d,max_win_%,max_loss_%,gross_ret_%,net_ret_%,earned_%,stall_exit_%
,1.5,,Vol≥1.5×,3064,32.702349869451695,2.659519589485809,1.2923562699635212,7.597608824450052,-2.8567598653856776,16.60835509138381,84.68032057285984,-37.849295857895946,1722.165199673686,-4405.8348003263145,39.523498694516974,54.438642297650134
0.01,1.5,25.0,Amp≥1% + Vol≥1.5× + ADX≥25,2470,32.75303643724696,2.643023185560767,1.2873002752068998,7.942238794594178,-3.004982641841291,16.67327935222672,84.68032057285984,-30.678159341044807,1433.995016728306,-3506.004983271694,38.38056680161943,54.61538461538461
0.03,1.5,25.0,Amp≥3% + Vol≥1.5× + ADX≥25,1574,33.03684879288437,2.6072742368802087,1.2863212553868202,8.894854716892482,-3.4115531811244435,16.83418043202033,84.68032057285984,-30.678159341044807,1029.5473998789278,-2118.452600121072,37.42058449809403,55.781448538754766
,2.0,25.0,Vol≥2.0× + ADX≥25,1298,31.432973805855163,2.794554835223636,1.2810992952485882,8.292675539251562,-2.96744062228714,16.95300462249615,84.68032057285984,-30.678159341044807,742.3894661790829,-1853.6105338209172,37.28813559322034,56.47149460708783
0.01,1.5,20.0,Amp≥1% + Vol≥1.5× + ADX≥20,2738,32.61504747991235,2.6380807916542572,1.2768597002424127,7.854883336732806,-2.9774991583207946,16.525931336742147,84.68032057285984,-30.678159341044807,1520.9248726005294,-3955.07512739947,38.568298027757486,54.63842220598978
,1.5,20.0,Vol≥1.5× + ADX≥20,2994,32.66533066132264,2.629805657816188,1.275768816142972,7.594208732453713,-2.8877452255388354,16.5688042752171,84.68032057285984,-37.849295857895946,1605.4417656534388,-4382.558234346561,39.278557114228455,54.44221776887107
,1.5,25.0,Vol≥1.5× + ADX≥25,2721,32.63506063947078,2.6329535747548873,1.275538884005641,7.6709283536196935,-2.91343091924202,16.652701212789417,84.68032057285984,-37.849295857895946,1471.4655030436656,-3970.5344969563344,39.02976846747519,54.3917677324513
0.01,2.0,25.0,Amp≥1% + Vol≥2.0× + ADX≥25,1198,31.385642737896497,2.773265400642947,1.268549623651762,8.537910752128298,-3.0786489998933706,16.850584307178632,84.68032057285984,-30.678159341044807,679.6049648878897,-1716.3950351121105,36.97829716193656,56.761268781302164
0.03,2.0,25.0,Amp≥3% + Vol≥2.0× + ADX≥25,881,32.46311010215664,2.6362129885351595,1.2671544785227824,8.848067891909514,-3.356355472941524,17.532349602724178,84.68032057285984,-30.678159341044807,533.5159106859135,-1228.4840893140865,36.88989784335982,57.094211123723035
0.05,,30.0,Amp≥5% + ADX≥30,934,30.94218415417559,2.7802354034252885,1.2457178784339664,11.127278887610153,-4.002279401917259,16.585653104925054,123.99496570001367,-30.678159341044807,634.3133842827017,-1233.6866157172983,36.937901498929335,55.78158458244111
0.01,1.5,30.0,Amp≥1% + Vol≥1.5× + ADX≥30,2041,31.945124938755516,2.589022620456703,1.2152935554627575,7.793405353603714,-3.010172754778388,16.39294463498285,84.68032057285984,-30.678159341044807,900.1703341624411,-3181.829665837559,38.06957373836355,55.31602155805977
,1.5,30.0,Vol≥1.5× + ADX≥30,2264,31.978798586572438,2.582173894091074,1.2139570774817778,7.504115784986668,-2.9061233258374797,16.44125441696113,84.68032057285984,-30.678159341044807,957.5499065406282,-3570.4500934593716,38.869257950530034,54.90282685512368
0.03,3.0,,Amp≥3% + Vol≥3.0×,350,32.285714285714285,2.527578945562845,1.2051325774202593,9.532151834938604,-3.7712578084543154,17.411428571428573,68.39236239415385,-30.678159341044807,183.34505674438947,-516.6549432556105,35.714285714285715,56.85714285714286
0.05,1.5,30.0,Amp≥5% + Vol≥1.5× + ADX≥30,732,30.87431693989071,2.650670048217041,1.1838961084921964,9.878052900896094,-3.7266248613404422,16.81830601092896,84.68032057285984,-30.678159341044807,346.7677757642537,-1117.2322242357463,38.9344262295082,56.69398907103825
,3.0,,Vol≥3.0×,418,31.100478468899524,2.6107347153062515,1.1784566423257385,8.97144745810415,-3.436368852609277,16.801435406698566,68.39236239415385,-30.678159341044807,176.6139400020678,-659.3860599979321,35.88516746411483,57.655502392344495
0.05,3.0,20.0,Amp≥5% + Vol≥3.0× + ADX≥20,299,33.44481605351171,2.3410275696994383,1.1763957636680593,9.213323717591988,-3.935589583327665,17.97324414715719,68.39236239415385,-30.678159341044807,138.15004467699345,-459.8499553230065,37.12374581939799,56.52173913043478
0.01,3.0,,Amp≥1% + Vol≥3.0×,399,31.82957393483709,2.5152895732607767,1.174418293397495,8.944710826615982,-3.5561356122588372,16.917293233082706,68.39236239415385,-30.678159341044807,168.70938844582582,-629.2906115541741,35.58897243107769,57.393483709273184
0.05,2.0,30.0,Amp≥5% + Vol≥2.0× + ADX≥30,514,29.961089494163424,2.74229940092266,1.1730947437280268,10.331206901190898,-3.767351915591315,17.65953307392996,84.68032057285984,-30.678159341044807,234.75917317052472,-793.2408268294753,38.13229571984436,56.809338521400775
