ticker,slot,entry_date,exit_date,entry_price,exit_price,shares,pnl_€,ret_%,hold_d,earned_mode,earned_date,pyramid_count,max_unreal_%,exit_reason,is_rotation,exhausted,exhaust_date,setup
XOM,1,2023-09-28,2023-10-05,110.17,100.82,40,-413.89,-9.35,5,False,,0,0.0,ATR,False,False,,A
GD,2,2023-10-10,2023-10-11,228.51,225.0,18,-103.24,-2.5,1,False,,0,0.0,Rotation,True,False,,A
CDNS,2,2023-10-11,2023-10-25,250.32,237.04,16,-252.48,-6.27,10,False,,0,1.06,ATR,False,False,,A
AIG,2,2023-11-03,2023-12-01,60.66,62.24,64,61.3,1.57,19,False,,0,2.83,Rotation,True,False,,A
PSX,2,2023-12-01,2024-01-11,118.95,120.28,33,3.99,0.1,27,True,2023-12-20,0,5.64,ATR,False,False,,A
CRWD,1,2023-10-09,2024-02-22,176.5,304.93,24,3042.32,71.48,93,True,2023-10-11,0,89.55,ATR,False,False,,A
CTRA,1,2024-02-22,2024-02-23,23.96,24.43,234,68.62,1.22,1,False,,0,2.01,Rotation,True,False,,A
AVGO,1,2024-02-23,2024-03-12,127.67,127.54,44,-45.88,-0.81,12,True,2024-03-01,0,7.54,ATR,False,False,,A
XLB,1,2024-03-12,2024-03-15,43.31,43.22,130,-51.22,-0.91,3,False,,0,0.99,Rotation,True,False,,A
MSFT,1,2024-03-15,2024-03-18,412.95,407.99,13,-104.53,-1.94,1,False,,0,0.0,Rotation,True,False,,A
ISRG,2,2024-01-11,2024-04-16,364.45,376.63,10,81.8,2.23,65,True,2024-01-24,0,9.92,ATR,False,False,,A
PSX,1,2024-03-18,2024-04-16,148.62,149.93,37,8.3,0.15,20,True,2024-04-02,0,8.34,ATR,False,False,,A
ELV,1,2024-04-19,2024-04-25,514.15,516.34,10,-18.09,-0.35,4,False,,0,0.2,Rotation,True,False,,A
AXP,2,2024-04-22,2024-06-10,227.06,226.98,24,-41.88,-0.77,34,True,2024-05-10,0,4.76,ATR,False,False,,A
BSX,1,2024-04-25,2024-07-19,73.13,76.9,76,246.52,4.42,58,True,2024-05-20,0,6.85,ATR,False,False,,A
ALL,1,2024-07-19,2024-07-22,171.64,169.67,33,-105.08,-1.85,1,False,,0,0.0,Rotation,True,False,,A
AAPL,2,2024-06-12,2024-07-25,205.78,217.25,27,269.72,4.84,29,True,2024-06-12,0,13.24,ATR,False,False,,A
ISRG,1,2024-07-22,2024-07-26,462.33,438.6,12,-324.76,-5.83,4,False,,0,0.0,ATR,False,False,,A
RTX,1,2024-07-26,2024-09-09,110.32,116.44,51,272.04,4.82,30,True,2024-08-15,0,8.81,ATR,False,False,,A
ABBV,2,2024-07-26,2024-10-18,173.01,179.64,32,172.13,3.1,59,True,2024-08-02,0,8.67,ATR,False,False,,A
TRV,2,2024-10-18,2024-10-23,262.77,252.71,22,-261.23,-4.5,3,False,,0,0.0,Rotation,True,False,,A
PM,2,2024-10-23,2024-11-07,123.07,119.8,46,-190.26,-3.35,11,False,,0,2.17,ATR,False,False,,A
ORCL,2,2024-11-07,2024-12-11,178.2,175.17,30,-130.93,-2.44,23,True,2024-11-08,0,6.27,ATR,False,False,,A
T,1,2024-09-09,2024-12-19,19.37,21.07,296,463.18,8.05,72,True,2024-09-09,0,15.39,ATR,False,False,,A
BLK,2,2024-12-12,2024-12-19,1040.94,1013.97,5,-174.82,-3.35,5,False,,0,0.0,ATR,False,False,,A
EBAY,2,2025-01-10,2025-01-15,67.45,63.64,84,-359.94,-6.33,3,False,,0,0.0,ATR,False,False,,A
ISRG,2,2025-01-16,2025-02-26,582.6,570.85,9,-145.75,-2.77,27,True,2025-01-22,0,4.78,ATR,False,False,,A
PXD,2,2025-02-26,2025-03-03,52.04,52.07,102,-37.15,-0.7,3,False,,0,0.14,Rotation,True,False,,A
RL,1,2025-01-07,2025-03-05,240.06,249.47,23,176.54,3.19,38,True,2025-01-23,0,17.63,ATR,False,False,,A
EWL,1,2025-03-05,2025-03-06,51.9,51.5,106,-82.65,-1.5,1,False,,0,0.0,Rotation,True,False,,A
V,2,2025-03-03,2025-03-07,360.3,338.34,14,-347.52,-6.86,4,False,,0,0.0,ATR,False,False,,A
FAST,2,2025-03-07,2025-03-14,37.93,36.43,135,-241.64,-4.7,5,True,2025-03-10,0,3.27,ATR,False,False,,A
EWG,1,2025-03-06,2025-04-01,38.01,36.62,143,-238.33,-4.37,18,False,,0,1.73,ATR,False,False,,A
GLD,2,2025-03-14,2025-04-07,276.27,278.86,17,4.03,0.09,16,True,2025-03-28,0,4.3,ATR,False,False,,A
TLT,2,2025-04-07,2025-04-09,87.89,83.48,57,-291.36,-5.79,2,False,,0,0.0,ATR,False,False,,A
EXC,1,2025-04-01,2025-04-10,44.19,42.81,114,-197.42,-3.9,7,True,2025-04-03,0,3.21,ATR,False,False,,A
GLD,1,2025-04-11,2025-05-15,297.96,294.1,16,-101.76,-2.13,23,True,2025-04-16,0,5.92,ATR,False,False,,A
HYG,2,2025-05-13,2025-05-21,75.28,74.99,63,-57.92,-1.22,6,False,,0,0.11,Rotation,True,False,,A
D,2,2025-05-21,2025-06-02,55.12,54.52,85,-91.03,-1.93,7,False,,0,0.0,Rotation,True,False,,A
CME,2,2025-06-02,2025-06-05,277.48,267.64,16,-197.49,-4.43,3,False,,0,0.91,ATR,False,False,,A
MNST,1,2025-05-19,2025-07-10,62.85,59.57,75,-286.0,-6.04,35,False,,0,2.21,ATR,False,False,,A
SLV,1,2025-07-14,2025-07-28,35.22,34.65,126,-111.82,-2.51,10,False,,0,1.42,Rotation,True,False,,A
EWY,2,2025-06-05,2025-08-04,63.89,70.79,69,435.76,9.84,40,True,2025-06-12,0,13.07,ATR,False,False,,A
NEM,1,2025-07-28,2025-10-22,64.29,82.68,67,1192.4,27.56,61,True,2025-08-07,0,52.11,ATR,False,False,,A
K,1,2025-10-22,2025-10-27,70.38,68.82,73,-153.75,-2.98,3,False,,0,0.0,Rotation,True,False,,A
GD,1,2025-10-27,2025-10-29,350.71,342.27,14,-158.25,-3.21,2,False,,0,0.0,Rotation,True,False,,A
MPWR,2,2025-08-04,2025-11-05,787.12,957.5,5,811.92,20.53,66,True,2025-08-13,0,39.87,ATR,False,False,,A
CTRA,2,2025-11-05,2025-11-06,25.4,25.6,214,4.24,0.08,1,False,,0,0.0,Rotation,True,False,,A
NVDA,1,2025-10-29,2025-11-07,207.96,184.88,24,-593.86,-11.85,7,False,,0,0.0,ATR,False,False,,A
MAR,1,2025-11-10,2025-11-18,290.87,282.01,17,-190.65,-3.84,6,False,,0,0.0,Rotation,True,False,,A
AMGN,2,2025-11-06,2025-12-10,314.66,314.07,17,-49.96,-0.93,23,True,2025-11-11,0,9.03,ATR,False,False,,A
EWL,2,2025-12-11,2025-12-16,58.47,59.29,86,30.52,0.6,3,False,,0,1.01,Rotation,True,False,,A
HOLX,2,2025-12-16,2025-12-19,75.06,75.0,67,-44.02,-0.87,3,False,,0,0.0,Rotation,True,False,,A
JNJ,1,2025-11-18,2026-01-06,196.71,203.52,24,123.43,2.6,32,True,2025-11-21,0,8.3,ATR,False,False,,A
AMAT,1,2026-01-06,2026-02-05,285.07,299.7,17,208.57,4.29,21,True,2026-01-09,0,19.59,ATR,False,False,,A
UPS,1,2026-02-05,2026-02-06,114.4,114.7,45,-26.69,-0.52,1,False,,0,0.47,Rotation,True,False,,A
FDX,2,2025-12-19,2026-03-09,270.96,351.61,18,1411.67,28.83,52,True,2025-12-19,0,42.79,ATR,False,False,,A
TPR,1,2026-02-06,2026-03-13,145.04,143.54,35,-92.54,-1.82,24,True,2026-02-09,0,10.36,ATR,False,False,,A
CVX,2,2026-03-13,2026-04-02,196.0,202.51,29,148.79,2.61,14,True,2026-03-20,0,7.73,ATR,False,False,,A
DVN,1,2026-03-13,2026-04-13,45.52,48.33,128,319.68,5.47,20,True,2026-03-19,0,14.39,ATR,False,False,,A
NEE,1,2026-04-24,2026-04-27,97.24,94.83,62,-189.42,-3.13,1,False,,0,0.0,End,False,False,,A
TMUS,1,2020-03-05,2020-03-10,88.08,78.82,56,-558.51,-11.28,3,False,,0,0.0,ATR,False,False,,B
BIIB,2,2020-03-06,2020-03-13,308.27,279.14,16,-506.08,-10.22,5,False,,0,3.14,ATR,False,False,,B
TMUS,1,2020-03-11,2020-03-19,79.67,71.89,55,-467.81,-10.63,6,False,,0,4.33,ATR,False,False,,B
WMT,2,2020-05-05,2020-05-07,38.01,38.07,110,-33.14,-0.79,2,False,,0,0.75,Rotation,True,False,,B
HRL,1,2020-05-04,2020-05-11,38.73,39.44,108,36.38,0.87,5,False,,0,1.48,Rotation,True,False,,B
CCI,2,2020-05-07,2020-05-14,119.69,116.96,34,-132.68,-3.24,5,False,,0,2.22,Rotation,True,False,,B
GILD,2,2020-05-14,2020-06-05,60.93,61.09,66,-29.49,-0.73,15,False,,0,1.67,Rotation,True,False,,B
CAG,1,2020-05-11,2020-06-12,25.59,24.9,164,-152.74,-3.62,23,True,2020-05-29,0,5.01,ATR,False,False,,B
PANW,1,2020-06-12,2020-06-19,37.87,38.83,106,62.11,1.54,5,False,,0,1.37,Rotation,True,False,,B
AMD,2,2020-06-05,2020-06-29,52.99,50.15,76,-255.84,-6.32,16,True,2020-06-10,0,8.4,ATR,False,False,,B
ETSY,2,2020-07-22,2020-08-12,105.22,128.53,36,799.16,20.99,15,True,2020-07-31,0,28.8,Exhaust,False,True,2020-08-03,B
EW,2,2020-08-12,2020-08-18,77.0,78.46,56,41.76,0.96,4,False,,0,3.12,Rotation,True,False,,B
ROK,1,2020-06-19,2020-09-09,193.97,203.15,21,152.78,3.73,56,True,2020-07-17,0,11.39,ATR,False,False,,B
NFLX,2,2020-08-18,2020-09-11,48.44,48.65,90,-20.74,-0.47,17,True,2020-08-26,0,14.91,ATR,False,False,,B
STLD,1,2020-09-09,2020-09-15,26.88,27.47,165,57.24,1.28,4,False,,0,1.48,Rotation,True,False,,B
BBY,2,2020-09-14,2020-10-29,85.74,88.85,51,118.6,2.7,33,True,2020-10-05,0,11.57,ATR,False,False,,B
ZS,2,2020-10-29,2020-11-03,145.38,135.02,31,-361.16,-7.98,3,False,,0,0.0,ATR,False,False,,B
QCOM,2,2020-11-03,2020-11-04,111.43,114.88,38,90.98,2.14,1,False,,0,0.01,Rotation,True,False,,B
SNPS,1,2020-09-15,2020-11-11,208.13,222.44,21,260.51,5.93,41,True,2020-10-09,0,16.17,ATR,False,False,,B
TSCO,1,2020-11-17,2020-11-18,24.16,24.15,187,-42.74,-0.94,1,False,,0,0.0,Rotation,True,False,,B
TMO,1,2020-11-18,2020-11-25,472.96,432.13,9,-407.47,-9.53,5,False,,0,0.0,ATR,False,False,,B
BMY,1,2020-11-27,2020-11-30,50.95,50.77,84,-55.56,-1.29,1,False,,0,0.0,Rotation,True,False,,B
ELV,1,2020-11-30,2020-12-08,288.7,294.08,14,35.24,0.87,6,False,,0,3.99,Rotation,True,False,,B
FDX,2,2020-11-04,2020-12-21,249.78,245.77,17,-108.16,-2.54,32,True,2020-12-01,0,8.94,ATR,False,False,,B
DOW,1,2020-12-08,2020-12-29,39.83,41.03,107,88.89,2.08,14,False,,0,5.22,Rotation,True,False,,B
F,2,2020-12-21,2021-01-28,6.66,8.14,630,891.6,21.16,25,True,2021-01-11,0,29.99,Exhaust,False,True,2021-01-14,B
CAT,2,2021-01-28,2021-01-29,165.91,167.04,28,-8.4,-0.18,1,False,,0,1.14,Rotation,True,False,,B
GE,1,2020-12-29,2021-02-01,51.86,52.83,82,39.79,0.93,22,True,2021-01-06,0,10.51,ATR,False,False,,B
DRE,2,2021-01-29,2021-02-19,155.2,136.1,30,-613.13,-13.11,14,False,,0,2.53,ATR,False,False,,B
ALB,1,2021-02-01,2021-02-19,155.86,136.1,30,-632.88,-13.48,13,False,,0,2.09,ATR,False,False,,B
DD,1,2021-02-25,2021-03-02,27.28,28.07,151,79.41,1.92,3,False,,0,2.48,Rotation,True,False,,B
ALGN,2,2021-02-26,2021-03-05,561.46,525.0,7,-295.22,-7.47,5,False,,0,1.01,ATR,False,False,,B
NXPI,1,2021-03-02,2021-03-05,172.31,158.84,24,-363.18,-8.74,3,False,,0,0.0,ATR,False,False,,B
IWM,1,2021-03-05,2021-03-25,203.6,196.88,18,-160.92,-4.37,14,True,2021-03-11,0,8.08,ATR,False,False,,B
GOOG,2,2021-03-05,2021-03-26,102.81,101.11,37,-102.86,-2.69,15,False,,0,2.01,Rotation,True,False,,B
XOM,2,2021-03-26,2021-04-21,47.31,45.0,78,-220.33,-5.94,17,False,,0,0.72,Rotation,True,False,,B
NUE,2,2021-04-21,2021-05-13,72.26,89.88,48,805.58,23.09,16,True,2021-04-29,0,30.78,Exhaust,False,True,2021-05-04,B
ISRG,2,2021-05-13,2021-05-14,271.07,274.32,14,5.55,0.15,1,False,,0,0.91,Rotation,True,False,,B
EXR,2,2021-05-14,2021-05-20,118.17,119.53,33,4.8,0.12,4,False,,0,1.38,Rotation,True,False,,B
DVN,1,2021-03-26,2021-06-10,17.85,23.75,206,1175.14,31.78,52,True,2021-05-05,0,37.83,Exhaust,False,True,2021-06-01,B
SCHW,2,2021-05-20,2021-06-21,67.15,66.34,59,-87.65,-2.2,21,True,2021-06-03,0,6.31,ATR,False,False,,B
TPR,1,2021-06-10,2021-06-24,38.48,37.84,118,-115.88,-2.54,10,False,,0,1.42,Rotation,True,False,,B
EOG,1,2021-06-24,2021-07-16,66.59,61.35,66,-385.41,-8.73,15,False,,0,2.86,ATR,False,False,,B
DVN,2,2021-06-22,2021-07-19,22.33,19.33,202,-645.13,-14.24,18,False,,0,5.49,ATR,False,False,,B
GM,1,2021-07-16,2021-07-20,55.33,52.23,73,-266.26,-6.56,2,False,,0,0.0,ATR,False,False,,B
PGR,1,2021-07-21,2021-07-22,84.59,83.97,45,-67.79,-1.77,1,False,,0,0.0,Rotation,True,False,,B
IR,2,2021-07-22,2021-07-23,48.53,48.6,78,-34.57,-0.91,1,False,,0,0.0,Rotation,True,False,,B
AMD,1,2021-07-22,2021-08-09,89.4,111.31,42,880.22,23.32,12,True,2021-07-28,0,32.85,Exhaust,False,True,2021-07-29,B
XOM,1,2021-08-12,2021-08-18,48.81,47.13,86,-184.81,-4.38,4,False,,0,0.0,Rotation,True,False,,B
HCA,1,2021-08-18,2021-08-25,233.83,240.37,17,71.07,1.78,5,False,,0,2.58,Rotation,True,False,,B
BIIB,2,2021-07-23,2021-09-09,322.1,322.0,11,-41.1,-1.15,33,True,2021-08-09,0,8.6,ATR,False,False,,B
