ticker,entry_date,entry_price,exit_date,exit_price,shares,units,pnl_net,hold_days,entry_reason,exit_reason,return,max_high,trailing_stop_final,earned_mode,pyramid_count,atr_at_entry
BIIB,2021-02-01,283.20001220703125,2021-02-04,262.1600036621094,6,1,-166.24005126953125,3,Breakout_50 | Trend: +2.2%,ATR Stop,-0.07429381228112641,284.75,263.7285831996373,False,0,9.735714503696986
ABT,2021-01-29,109.06768149428231,2021-02-08,113.37595100862434,18,1,37.54885125815653,6,Breakout_50 | Trend: +18.7%,Rotation -> TPR (+85.0% vs +21.3%),0.03950088106134242,113.21269838895573,103.57569084752168,False,0,2.7459953233803134
GOOG,2021-02-04,102.60215032654648,2021-02-09,103.080720724468,19,1,-30.907162439491202,3,Breakout_50 | Trend: +31.3%,Rotation -> FANG (+66.8% vs +31.7%),0.004664331072968597,105.3127442303304,95.50901574864653,False,0,3.546567288949972
MPC,2021-02-04,41.7451448194276,2021-02-18,45.60405331182271,47,1,141.36869914257014,9,Breakout_50 | Trend: +32.9%,Rotation -> FCX (+90.2% vs +43.3%),0.09243969589965895,46.027948944738625,40.40718386320394,True,0,1.8612853602886246
ENPH,2020-10-06,98.05999755859375,2021-02-19,185.02000427246094,19,1,1612.2401275634766,93,Rotation: Breakout_50 | Trend: +93.7%,ATR Stop,0.8868040880982688,229.0399932861328,186.1549949645996,True,0,5.479285648890904
TSLA,2020-11-20,165.99667358398438,2021-02-22,254.2133331298828,10,1,842.1665954589844,61,Breakout_50 | Trend: +87.8%,ATR Stop,0.5314363091816179,300.1333312988281,264.5041809082031,True,0,7.747142246791294
FCX,2021-02-18,32.00776043392922,2021-03-05,31.420884829508104,61,1,-75.79941186968813,11,Rotation: Breakout_50 | Trend: +90.2%,ATR Stop,-0.01833541605113398,36.42326003639626,31.306771834859223,True,0,1.3906585416836617
HES,2021-03-05,67.98388512906848,2021-03-24,60.11716121570335,29,1,-268.13499348758893,13,Breakout_50 | Trend: +85.8%,ATR Stop,-0.11571453879739346,71.82821196672414,60.074148333544684,False,0,3.9548683977618992
MU,2021-02-22,87.31744113272623,2021-03-25,79.13479270066325,22,1,-220.01826550538547,23,Breakout_50 | Trend: +57.6%,ATR Stop,-0.09371150054231436,93.38374509063046,82.09687647117481,True,0,2.6102823307757106
XLP,2021-03-24,58.597795442727076,2021-03-26,59.150106326447386,33,1,-21.77374083722978,2,Breakout_50 | Trend: +5.5%,Rotation -> NUE (+44.7% vs +5.9%),0.009425454994465232,59.15011555864362,57.1653838847256,False,0,0.7162057790007376
ELV,2021-03-25,336.8132924217215,2021-03-29,344.7334862495308,5,1,-0.39903086095335993,2,Breakout_50 | Trend: +23.2%,Rotation -> AMAT (+62.8% vs +26.4%),0.02351508686270165,346.85796888835995,320.1264219136059,False,0,8.343435254057807
TPR,2021-02-08,33.12286621011406,2021-03-30,34.79663299641344,59,1,58.75224039166352,35,Rotation: Breakout_50 | Trend: +85.0%,ATR Stop,0.050532063731498544,40.892638527896445,35.765645299290036,True,0,1.3069174132686876
FANG,2021-02-09,55.12694676580664,2021-04-01,60.03622171096794,35,1,131.8246230806455,36,Rotation: Breakout_50 | Trend: +66.8%,ATR Stop,0.08905399687773663,71.82820402596195,60.62298880397921,True,0,3.1972489225422978
GD,2021-03-30,163.69314097757746,2021-04-06,164.6484984914428,12,1,-28.535709833615783,4,Breakout_50 | Trend: +21.7%,Rotation -> ANSS (+53.8% vs +22.7%),0.005836270891742545,165.7645163869386,157.10909606954272,False,0,3.2920224540173746
TXN,2021-04-01,165.7221640167971,2021-04-19,165.06309372189307,11,1,-47.249773243944446,11,Breakout_50 | Trend: +24.5%,Rotation -> WFC (+50.7% vs +23.3%),-0.003976959260785673,171.33264113138952,156.6517056768732,False,0,4.535229169961947
