ticker,trough_date,peak_date,wait_days,decision_date,rem_ret_pct,rest_dd_pct,rem_tq,total_ret,dist_sma200_dec,atr_pct_dec,snap_atr_pct,delta_atr_pct,snap_bb_width,delta_bb_width,snap_dist_sma200,delta_dist_sma200,snap_rsi14,delta_rsi14,snap_vol_spike,delta_vol_spike,snap_dist_sma50,delta_dist_sma50,snap_dist_sma20,delta_dist_sma20,snap_macd_hist_norm,delta_macd_hist_norm,wait_days_key
GE,2022-12-16,2023-07-25,2,2022-12-20,87.14,4.51,19.3228,93.6,0.045,0.0291,0.0291379692086001,-0.001020397654352516,0.15774104834795352,0.01448630893336636,0.045017984091652204,0.03587884204257456,45.289759133536194,9.705142881846811,1.234027773487849,-0.5919813874589563,0.005544316089782705,0.026444862252470707,-0.04011716186863371,0.039073809186020915,-0.012830341883389006,0.003156886173437408,2
GE,2023-10-27,2024-03-27,2,2023-10-31,65.91,3.32,19.8549,69.47,0.0702,0.031,0.030950412977818635,0.00014242942022526378,0.07935940990630326,-0.0028081566603862795,0.07018350791721654,0.019368754076546396,47.37009752767176,5.238251434934632,0.9821674811239348,-0.03455724493028611,-0.025755376890874836,0.02133863962326464,-0.00776837462487151,0.019986601940579937,0.0006468479675473785,0.0009221451819552151,2
GE,2024-09-06,2024-10-21,2,2024-09-10,16.49,2.9,5.6893,20.65,0.1918,0.0234,0.023381761801021434,0.0008983671405944499,0.08187824510595158,-0.0011312135299782339,0.19184133374930348,0.03519605776941964,49.55643177099333,9.920848853981,0.8831557842355726,-0.13866470410620724,0.008050832529323626,0.03313511806359566,-0.011528668239075812,0.03450973477668957,-0.005356381167533867,0.002222786890128196,2
GE,2024-12-18,2025-02-19,2,2024-12-20,25.23,3.17,7.9519,31.82,0.0112,0.0286,0.02855952039553839,0.0014573415859114557,0.1815495625712079,-0.0027745714979785785,0.011182590922313463,0.04842069370158402,43.788453772758196,15.348441254428757,1.6345201354248757,0.11087068199590355,-0.05493049406329575,0.051697739537961244,-0.028952127806293425,0.054772927984663405,-0.004362036289776535,0.005241038810893074,2
GE,2025-06-17,2025-10-29,2,2025-06-20,31.65,4.91,6.4443,33.67,0.234,0.024,0.02400051534106172,0.0008979411704633233,0.11623246173100084,-0.0068917493238704886,0.2339983735805283,0.014614038625232056,55.157322542486256,4.480107546391949,1.3306687257698167,0.44681775906506427,0.08804743279906206,0.002821204911516259,-0.01421414250529659,0.013614938316199502,-0.01164259424236991,0.0011992026455702291,2
GE,2026-01-28,2026-03-02,2,2026-01-30,12.7,2.53,5.0252,18.21,0.1219,0.0309,0.030877318168180772,-0.0033814106478612695,0.16623577688682953,-0.0018222833545242234,0.12194182396267471,0.04762973472599909,49.641476740074545,10.530840328589527,1.1836358102498483,-0.09844794775010568,0.010039919181448056,0.047024383914435655,-0.019525434355043364,0.04784529433277643,-0.0077012403174380965,0.0058063623535200976,2
GILD,2022-09-30,2022-12-08,2,2022-10-04,36.99,1.84,20.1029,45.03,0.0519,0.0239,0.023886088498800962,-0.0013732605281482277,0.08484494660068824,-0.0027888567970556083,0.05187334543569633,0.05916368323836744,56.993209819112614,14.904628433339994,1.35452778021468,0.32431860371901,0.03779814513716988,0.055198656773790426,0.018718727220327514,0.05507768376585699,-0.0018435136539378058,0.00377988355661292,2
GILD,2024-08-12,2024-11-07,2,2024-08-14,33.28,2.12,15.704,35.38,0.0281,0.026,0.02602219901711019,-0.003668748567550402,0.1034279154446227,-0.0091479869374584,0.02805558753551562,0.016220956746961813,53.50565850943032,4.111352339643929,0.7350417426239216,-0.11173269451097867,0.05542315355631496,0.009831557996296147,-0.008260001442076101,0.013302125431239958,-0.006985052461365327,0.000554738239590534,2
GILD,2025-01-08,2025-03-07,2,2025-01-13,30.54,4.18,7.2988,31.71,0.1684,0.0182,0.01822644865101665,-9.146147437910646e-05,0.06384204614988473,0.006354106115454124,0.16838893278129435,0.007444518508468889,43.48252069811214,4.179790594618183,1.0225329372761403,-0.2411554380679568,-0.014255907013937816,0.007813261240445254,-0.020810804804600812,0.010481701240328364,-0.005059348612616234,0.0001292635249860504,2
GILD,2025-10-02,2025-11-19,2,2025-10-06,12.76,5.0,2.5531,15.84,0.0727,0.0257,0.025702453138755885,0.0006611064372022656,0.057834079474593084,-0.004610263557087643,0.07270939637823502,0.02624049873406576,52.24548650245831,9.522668655293657,1.169760481353472,-0.08029579442931634,-0.0020771128505412636,0.02679820361192868,0.005647196514398127,0.02806693455928156,2.9541774589237763e-05,0.0025619555880595037,2
