ticker,slot,entry_date,exit_date,entry_price,exit_price,shares,pnl_€,ret_%,hold_d,earned_mode,earned_date,pyramid_count,max_unreal_%,exit_reason,is_rotation
ABBV,1,2022-01-19,2022-01-24,116.93,113.86,50,-193.87,-3.3,3,False,,0,0.0,ATR,False
MET,2,2022-01-07,2022-01-28,58.65,57.27,104,-183.49,-3.0,14,False,,0,2.44,Rotation,True
MDLZ,1,2022-01-24,2022-01-31,61.28,59.19,92,-233.12,-4.12,5,False,,0,0.0,ATR,False
VRTX,1,2022-01-31,2022-02-15,240.87,231.88,23,-246.77,-4.44,11,True,2022-02-02,0,5.27,ATR,False
BMY,1,2022-02-16,2022-02-18,56.79,56.47,94,-70.72,-1.32,2,False,,0,0.0,Rotation,True
CVS,2,2022-01-28,2022-02-23,91.95,88.38,62,-261.25,-4.57,17,False,,0,3.89,ATR,False
NEM,1,2022-02-18,2022-03-01,59.58,59.17,89,-76.97,-1.45,6,False,,0,1.25,Rotation,True
DVN,1,2022-03-01,2022-03-15,48.92,41.85,109,-810.71,-15.15,10,False,,0,0.95,ATR,False
CVX,2,2022-02-28,2022-04-25,118.59,132.61,45,590.73,11.03,39,True,2022-03-01,0,24.86,ATR,False
REGN,1,2022-03-15,2022-04-25,655.83,680.11,6,105.66,2.67,28,True,2022-03-21,0,11.9,ATR,False
XOM,2,2022-05-05,2022-05-10,80.2,74.62,65,-402.49,-7.69,3,False,,0,0.0,ATR,False
CPB,1,2022-04-29,2022-05-19,41.14,39.22,128,-285.53,-5.4,14,True,2022-05-06,0,6.97,ATR,False
MCD,2,2022-07-27,2022-07-28,234.71,237.47,21,17.81,0.36,1,False,,0,1.21,Rotation,True
TMUS,2,2022-07-28,2022-09-08,136.01,140.19,36,110.57,2.25,29,False,,0,3.97,Rotation,True
GIS,1,2022-06-30,2022-09-14,63.38,63.92,78,2.0,0.04,52,True,2022-08-09,0,6.77,ATR,False
ENPH,2,2022-09-08,2022-09-23,315.0,279.03,15,-579.55,-12.21,11,False,,0,1.78,ATR,False
GIS,1,2022-09-22,2022-10-03,69.17,66.47,72,-234.39,-4.69,7,False,,0,0.74,ATR,False
VRTX,1,2022-10-25,2022-10-28,312.0,302.0,14,-180.0,-4.1,3,False,,0,0.0,ATR,False
TMUS,1,2022-10-31,2022-12-01,144.22,146.4,31,27.36,0.61,22,False,,0,1.52,Rotation,True
GIS,1,2022-12-01,2023-01-09,74.04,74.51,61,-11.45,-0.25,25,False,,0,2.71,Rotation,True
LLY,2,2022-09-29,2023-01-10,324.68,340.24,13,162.26,3.83,70,True,2022-10-26,0,12.53,ATR,False
SYK,2,2023-01-10,2023-01-31,252.84,241.3,18,-247.68,-5.42,14,False,,0,1.08,ATR,False
SBUX,1,2023-01-09,2023-02-06,98.41,96.09,45,-144.77,-3.25,19,True,2023-02-01,0,3.26,ATR,False
FTV,1,2023-02-06,2023-02-07,50.94,51.04,86,-31.05,-0.71,1,False,,0,0.58,Rotation,True
AME,1,2023-02-07,2023-02-08,142.73,143.47,30,-17.97,-0.42,1,False,,0,0.64,Rotation,True
ITW,2,2023-02-01,2023-02-22,218.72,217.08,20,-72.81,-1.66,14,True,2023-02-02,0,6.16,ATR,False
DD,1,2023-02-08,2023-02-22,30.28,28.66,144,-274.4,-6.26,9,False,,0,0.0,ATR,False
CRM,2,2023-03-03,2023-03-09,185.35,180.45,22,-147.76,-3.61,4,False,,0,0.0,Rotation,True
LIN,1,2023-02-27,2023-03-10,331.81,331.76,12,-40.69,-1.02,9,False,,0,4.66,Rotation,True
ANET,2,2023-03-09,2023-04-21,37.2,38.86,111,144.26,3.48,30,True,2023-03-16,0,13.85,ATR,False
CL,2,2023-04-21,2023-04-24,71.9,71.53,58,-61.61,-1.47,1,False,,0,0.0,Rotation,True
GE,1,2023-03-10,2023-04-27,72.19,76.22,56,185.24,4.56,33,True,2023-04-03,0,8.98,ATR,False
PG,2,2023-04-24,2023-04-28,144.68,145.67,28,-12.33,-0.3,4,False,,0,0.81,Rotation,True
MSFT,1,2023-04-27,2023-07-27,289.12,333.33,14,578.9,14.23,62,True,2023-05-05,0,21.73,ATR,False
GOOGL,1,2023-07-27,2023-07-28,130.59,129.71,34,-70.01,-1.57,1,False,,0,0.0,Rotation,True
ANSS,1,2023-07-28,2023-08-14,69.19,63.42,64,-409.65,-9.21,11,False,,0,1.54,ATR,False
META,2,2023-04-28,2023-08-17,237.15,290.77,17,871.53,21.51,76,True,2023-05-22,0,36.18,ATR,False
OXY,1,2023-08-14,2023-08-17,62.44,60.34,68,-182.51,-4.28,3,False,,0,0.0,Rotation,True
PGR,1,2023-08-17,2023-08-21,124.85,122.6,36,-120.99,-2.68,2,False,,0,0.0,Rotation,True
ROST,1,2023-08-21,2023-08-30,115.31,117.64,38,48.65,1.11,7,False,,0,2.75,Rotation,True
TJX,2,2023-08-17,2023-09-22,86.21,86.26,54,-37.39,-0.8,25,True,2023-08-30,0,5.09,ATR,False
GOOG,1,2023-08-30,2023-09-27,134.47,128.39,33,-240.64,-5.4,19,False,,0,2.52,ATR,False
XOM,1,2023-09-28,2023-10-05,110.17,100.82,40,-413.89,-9.35,5,False,,0,0.0,ATR,False
GD,2,2023-10-10,2023-10-11,228.51,225.0,18,-103.24,-2.5,1,False,,0,0.0,Rotation,True
CDNS,2,2023-10-11,2023-10-25,250.32,237.04,16,-252.48,-6.27,10,False,,0,1.06,ATR,False
AIG,2,2023-11-03,2023-12-01,60.66,62.24,64,61.3,1.57,19,False,,0,2.83,Rotation,True
PSX,2,2023-12-01,2024-01-11,118.95,120.28,33,3.99,0.1,27,True,2023-12-20,0,5.64,ATR,False
CRWD,1,2023-10-09,2024-02-22,176.5,304.93,24,3042.32,71.48,93,True,2023-10-11,0,89.55,ATR,False
CTRA,1,2024-02-22,2024-02-23,23.96,24.43,234,68.62,1.22,1,False,,0,2.01,Rotation,True
AVGO,1,2024-02-23,2024-03-12,127.67,127.54,44,-45.88,-0.81,12,True,2024-03-01,0,7.54,ATR,False
XLB,1,2024-03-12,2024-03-15,43.31,43.22,130,-51.22,-0.91,3,False,,0,0.99,Rotation,True
MSFT,1,2024-03-15,2024-03-18,412.95,407.99,13,-104.53,-1.94,1,False,,0,0.0,Rotation,True
ISRG,2,2024-01-11,2024-04-16,364.45,376.63,10,81.8,2.23,65,True,2024-01-24,0,9.92,ATR,False
PSX,1,2024-03-18,2024-04-16,148.62,149.93,37,8.3,0.15,20,True,2024-04-02,0,8.34,ATR,False
ELV,1,2024-04-19,2024-04-25,514.15,516.34,10,-18.09,-0.35,4,False,,0,0.2,Rotation,True
AXP,2,2024-04-22,2024-06-10,227.06,226.98,24,-41.88,-0.77,34,True,2024-05-10,0,4.76,ATR,False
BSX,1,2024-04-25,2024-07-19,73.13,76.9,76,246.52,4.42,58,True,2024-05-20,0,6.85,ATR,False
ALL,1,2024-07-19,2024-07-22,171.64,169.67,33,-105.08,-1.85,1,False,,0,0.0,Rotation,True
AAPL,2,2024-06-12,2024-07-25,205.78,217.25,27,269.72,4.84,29,True,2024-06-12,0,13.24,ATR,False
ISRG,1,2024-07-22,2024-07-26,462.33,438.6,12,-324.76,-5.83,4,False,,0,0.0,ATR,False
RTX,1,2024-07-26,2024-09-09,110.32,116.44,51,272.04,4.82,30,True,2024-08-15,0,8.81,ATR,False
ABBV,2,2024-07-26,2024-10-18,173.01,179.64,32,172.13,3.1,59,True,2024-08-02,0,8.67,ATR,False
TRV,2,2024-10-18,2024-10-23,262.77,252.71,22,-261.23,-4.5,3,False,,0,0.0,Rotation,True
PM,2,2024-10-23,2024-11-07,123.07,119.8,46,-190.26,-3.35,11,False,,0,2.17,ATR,False
ORCL,2,2024-11-07,2024-12-11,178.2,175.17,30,-130.93,-2.44,23,True,2024-11-08,0,6.27,ATR,False
T,1,2024-09-09,2024-12-19,19.37,21.07,296,463.18,8.05,72,True,2024-09-09,0,15.39,ATR,False
BLK,2,2024-12-12,2024-12-19,1040.94,1013.97,5,-174.82,-3.35,5,False,,0,0.0,ATR,False
EBAY,2,2025-01-10,2025-01-15,67.45,63.64,84,-359.94,-6.33,3,False,,0,0.0,ATR,False
ISRG,2,2025-01-16,2025-02-26,582.6,570.85,9,-145.75,-2.77,27,True,2025-01-22,0,4.78,ATR,False
PXD,2,2025-02-26,2025-03-03,52.04,52.07,102,-37.15,-0.7,3,False,,0,0.14,Rotation,True
RL,1,2025-01-07,2025-03-05,240.06,249.47,23,176.54,3.19,38,True,2025-01-23,0,17.63,ATR,False
EWL,1,2025-03-05,2025-03-06,51.9,51.5,106,-82.65,-1.5,1,False,,0,0.0,Rotation,True
V,2,2025-03-03,2025-03-07,360.3,338.34,14,-347.52,-6.86,4,False,,0,0.0,ATR,False
FAST,2,2025-03-07,2025-03-14,37.93,36.43,135,-241.64,-4.7,5,True,2025-03-10,0,3.27,ATR,False
EWG,1,2025-03-06,2025-04-01,38.01,36.62,143,-238.33,-4.37,18,False,,0,1.73,ATR,False
GLD,2,2025-03-14,2025-04-07,276.27,278.86,17,4.03,0.09,16,True,2025-03-28,0,4.3,ATR,False
TLT,2,2025-04-07,2025-04-09,87.89,83.48,57,-291.36,-5.79,2,False,,0,0.0,ATR,False
EXC,1,2025-04-01,2025-04-10,44.19,42.81,114,-197.42,-3.9,7,True,2025-04-03,0,3.21,ATR,False
GLD,1,2025-04-11,2025-05-15,297.96,294.1,16,-101.76,-2.13,23,True,2025-04-16,0,5.92,ATR,False
HYG,2,2025-05-13,2025-05-21,75.28,74.99,63,-57.92,-1.22,6,False,,0,0.11,Rotation,True
D,2,2025-05-21,2025-06-02,55.12,54.52,85,-91.03,-1.93,7,False,,0,0.0,Rotation,True
CME,2,2025-06-02,2025-06-05,277.48,267.64,16,-197.49,-4.43,3,False,,0,0.91,ATR,False
MNST,1,2025-05-19,2025-07-10,62.85,59.57,75,-286.0,-6.04,35,False,,0,2.21,ATR,False
SLV,1,2025-07-14,2025-07-28,35.22,34.65,126,-111.82,-2.51,10,False,,0,1.42,Rotation,True
EWY,2,2025-06-05,2025-08-04,63.89,70.79,69,435.76,9.84,40,True,2025-06-12,0,13.07,ATR,False
NEM,1,2025-07-28,2025-10-22,64.29,82.68,67,1192.4,27.56,61,True,2025-08-07,0,52.11,ATR,False
K,1,2025-10-22,2025-10-27,70.38,68.82,73,-153.75,-2.98,3,False,,0,0.0,Rotation,True
GD,1,2025-10-27,2025-10-29,350.71,342.27,14,-158.25,-3.21,2,False,,0,0.0,Rotation,True
MPWR,2,2025-08-04,2025-11-05,787.12,957.5,5,811.92,20.53,66,True,2025-08-13,0,39.87,ATR,False
CTRA,2,2025-11-05,2025-11-06,25.4,25.6,214,4.24,0.08,1,False,,0,0.0,Rotation,True
NVDA,1,2025-10-29,2025-11-07,207.96,184.88,24,-593.86,-11.85,7,False,,0,0.0,ATR,False
MAR,1,2025-11-10,2025-11-18,290.87,282.01,17,-190.65,-3.84,6,False,,0,0.0,Rotation,True
AMGN,2,2025-11-06,2025-12-10,314.66,314.07,17,-49.96,-0.93,23,True,2025-11-11,0,9.03,ATR,False
EWL,2,2025-12-11,2025-12-16,58.47,59.29,86,30.52,0.6,3,False,,0,1.01,Rotation,True
HOLX,2,2025-12-16,2025-12-19,75.06,75.0,67,-44.02,-0.87,3,False,,0,0.0,Rotation,True
JNJ,1,2025-11-18,2026-01-06,196.71,203.52,24,123.43,2.6,32,True,2025-11-21,0,8.3,ATR,False
AMAT,1,2026-01-06,2026-02-05,285.07,299.7,17,208.57,4.29,21,True,2026-01-09,0,19.59,ATR,False
UPS,1,2026-02-05,2026-02-06,114.4,114.7,45,-26.69,-0.52,1,False,,0,0.47,Rotation,True
FDX,2,2025-12-19,2026-03-09,270.96,351.61,18,1411.67,28.83,52,True,2025-12-19,0,42.79,ATR,False
TPR,1,2026-02-06,2026-03-13,145.04,143.54,35,-92.54,-1.82,24,True,2026-02-09,0,10.36,ATR,False
CVX,2,2026-03-13,2026-04-02,196.0,202.51,29,148.79,2.61,14,True,2026-03-20,0,7.73,ATR,False
DVN,1,2026-03-13,2026-04-13,45.52,48.33,128,319.68,5.47,20,True,2026-03-19,0,14.39,ATR,False
NEE,1,2026-04-24,2026-04-27,97.24,94.83,62,-189.42,-3.13,1,False,,0,0.0,End,False
