Signal,N_5d,HR_5d,MR_5d,Med_5d,t_5d,N_20d,HR_20d,MR_20d,Med_20d,t_20d,N_60d,HR_60d,MR_60d,Med_60d,t_60d
MACD_Bull,10861,52.69312218027806,0.1912278315594825,0.198607025101305,4.614085110082159,10641,55.680857062306174,1.201521322845414,0.9358614970528034,14.020679957621791,10311,59.27650082436233,3.341718726891865,2.68699130650889,23.263359101061837
EMA12_Bull,22957,53.23866358844796,0.19063562768848186,0.2626701501703854,6.501621467496264,22591,55.27865079013766,1.1580440251725628,0.9336508883345029,20.167780739413967,21857,58.59450061765109,3.1133754746106197,2.3569572762073276,31.59688801652204
RSI_Mid_Bull,15167,53.02960374497264,0.21358589469663683,0.2601945618422308,5.854913826730256,14863,55.567516652089076,1.1541295249043002,1.0093661238641083,15.910390934102349,14438,57.86119961213464,2.94114289087824,2.2551957496575348,23.56833441089382
SMA200_Bear,5073,52.47388133254485,0.2258498816507457,0.21512100625111774,3.616490097434648,5025,54.328358208955216,1.0843528258523125,0.828032423876901,9.124553534984415,4830,57.72256728778468,2.745758283465611,2.353337119850296,13.845532241443888
** BASELINE **,270738,53.78964164616714,0.2796685283771305,0.29713703956834037,33.36696014709315,266838,55.230889153718735,1.0671727091467893,0.8830086702954376,64.38576627284054,256438,58.442196554332824,3.15139152406304,2.3971783358570975,110.55308069628725
MACD_Bear,10867,53.464617649765344,0.3049553080975598,0.24844441233138337,7.156752594772813,10771,54.08968526599202,0.9968363303722623,0.6968281544983634,11.8624064064551,10377,58.98621952394719,3.43576421518924,2.5437581296288814,23.72148819458184
SMA50_Bull,9891,52.552825801233446,0.15656089841401438,0.20546620491448397,3.4301229203802013,9647,54.87716388514564,0.9962150314732289,0.8750155123524062,11.022396444316767,9369,56.82570178247411,2.4390576372573873,2.0089084397709955,15.602856332575813
Multi_MACD_RSI,15758,53.610864322883614,0.25153483473267957,0.27428947048806496,7.429258542285876,15471,54.6441729687803,0.9747885044410545,0.7880710681368752,13.926728447491307,14941,58.06840238270531,2.8440691339130644,2.239759566169419,24.069371924831835
BB_Upper_Break,8847,52.26630496213406,0.18679012429842318,0.15542513570712124,4.262926124438897,8638,56.15883306320908,0.9428525604936779,0.9218054552569299,10.590531153296716,8326,56.02930578909441,2.0569354185323645,1.5745129856941542,13.376267789067786
SMA200_Bull,5114,52.87446226046148,0.1699203506766124,0.2710508574406578,2.734991614853694,5012,54.98802873104549,0.915520684800036,0.8661252747141135,7.783398250604342,4880,57.213114754098356,2.411163683577505,1.8269679386516802,12.306551971381575
Stoch_Overbought,20615,53.23308270676692,0.17422786905027768,0.24581399831078432,5.960988401859124,20251,54.61952496173028,0.816545829294373,0.7468871060798854,13.878795174493176,19556,56.58110042953569,2.354724666956607,1.8444598921406818,23.644650574676213
ROC21_Breakout,6333,54.602873835465026,0.381802013701626,0.3950757005500849,5.970249200377221,6213,54.337679060035406,0.764767765561908,0.79184406601287,6.12602811822081,5883,53.459119496855344,2.268357636560368,1.0388608703094437,10.14151905357095
RSI_Overbought,5178,52.66512166859791,0.1882911064244159,0.17712379617886853,3.4157553212355554,5120,54.62890625,0.692466688753644,0.6643089651893419,6.392761253205042,4822,57.030277892990455,2.3000187153289513,1.7149217380833193,11.960196432727937
